ticker,year,quarter,call_date,sentence,status
MSFT,2023,1,2022-10-25,Commercial remaining performance obligation increased 31% and 34% in constant currency to $180 billion.,candidate
MSFT,2023,2,2023-01-24,Commercial remaining performance obligation increased 29% to 26% in constant currency to $189 billion.,candidate
MSFT,2023,3,2023-04-25,Commercial remaining performance obligation increased 26% to $196 billion.,candidate
MSFT,2023,4,2023-07-25,Commercial remaining performance obligation increased 19% and 18% in constant currency to $224 billion.,candidate
MSFT,2024,1,2023-10-24,"More broadly, we continue to take share across all major categories we serve, and our SIEM, Microsoft Sentinel now has more than 25,000 customers in revenue, surpassed $1 billion annual run-rate, and customers in every industry like Booz Allen Hamilton, Grant Thornton and MetLife use our end-to-end solutions to protect their environments.",candidate
MSFT,2024,1,2023-10-24,"Commercial remaining performance obligation, increased 18% to $212 billion, and roughly 45% will be recognized in revenue in the next 12 months, up 15% year-over-year.",candidate
MSFT,2024,2,2024-01-30,"Commercial remaining performance obligation increased 17% and 16% in constant currency to $222 billion, roughly 45% will be recognized in revenue in the next 12 months, up 15% year-over-year.",candidate
MSFT,2024,3,2024-04-25,Commercial remaining performance obligation increased 20% and 21% in constant currency to $235 billion.,candidate
MSFT,2024,4,2024-07-30,"Copilot is driving GitHub growth, all up, GitHub’s annual revenue run rate is now $2 billion.",candidate
MSFT,2024,4,2024-07-30,Commercial remaining performance obligation increased 20% and 21% in constant currency to $269 billion.,candidate
MSFT,2025,1,2024-10-30,"All up, our AI business is on track to surpass an annual revenue run rate of $10 billion next quarter, which will make it the fastest business in our history to reach this milestone.",candidate
MSFT,2025,1,2024-10-30,Commercial remaining performance obligation increased 22% and 21% in constant currency to $259 billion.,candidate
MSFT,2025,1,2024-10-30,"Monetization from these investments continues to grow, and we're excited that only 2.5 years in, our AI business is on track to surpass $10 billion of annual revenue run rate in Q2.",candidate
MSFT,2025,2,2025-01-29,And our AI business has now surpassed an annual revenue run rate of $13 billion up 175% year-over-year.,candidate
MSFT,2025,2,2025-01-29,"As you heard from Satya, our AI business annual revenue run rate surpassed $13 billion and was above expectations.",candidate
MSFT,2025,2,2025-01-29,"Commercial remaining performance obligation increased to $298 billion, up 34% and 36% in constant currency.",candidate
MSFT,2025,2,2025-01-29,"We have and I think we talked about it, close to $300 billion of RPO, that is committed customer contracts that need to be delivered on.",candidate
MSFT,2025,3,2025-04-30,"Commercial remaining performance obligation increased to $315 billion, up 34% and 33% in constant currency.",candidate
MSFT,2025,3,2025-04-30,"The remaining cloud and AI spend was primarily for servers, both CPUs and GPUs, to serve customers based on demand signals including our customer contracted backlog of $315 billion.",candidate
MSFT,2025,4,2025-07-30,"Commercial remaining performance obligation increased to $368 billion, up 37% and 35% in constant currency.",candidate
MSFT,2025,4,2025-07-30,"Let me back up and first say, when you think about the full year comments I've made on CapEx as well as the Q1 guidance of over $30 billion, you first have to ground yourself in the fact that we have $368 billion of contracted backlog we need to deliver, not just across Azure but across the breadth of the Microsoft Cloud.",candidate
MSFT,2026,1,2025-10-29,And our commercial RPO increased over 50% to nearly $400 billion with a weighted average duration of only 2 years.,candidate
MSFT,2026,1,2025-10-29,Commercial remaining performance obligation increased to $392 billion and was up 51% year-over-year.,candidate
MSFT,2026,1,2025-10-29,"And I think you noted a number of $100 million contracts, not to go into a lot of detail, but can you just give us a sense of what you're seeing in that 51% RPO and 110-plus percent bookings growth that gives you confidence about what you're seeing in terms of the breadth and extent of some of these deals on a global basis.",candidate
MSFT,2026,1,2025-10-29,"Let me talk a little bit about maybe connecting a couple of the dots because with $400 billion of RPO, that's sort of short-dated as we talked about, our needs to continue to build out the infrastructure is very high.",candidate
MSFT,2026,2,2026-01-28,"Two years since it became broadly available, Fabrik's annual revenue run rate is now over $2 billion with over 31,000 customers, and it continues to be the fastest-growing analytics platform on the market with revenue up 60% year over year.",candidate
MSFT,2026,2,2026-01-28,"Commercial remaining performance obligation, continues to be reported net of reserves, increased to $625 billion.",candidate
MSFT,2026,2,2026-01-28,"The first thing to focus on is the reason we talked about that number is because 55% or roughly $350 billion is related to the breadth of our portfolio, a breadth of customers, across solutions, across Azure, across industries, across geographies, That is a significant RPO balance, larger than most peers.",candidate
MSFT,2026,3,2026-04-29,"Our AI business surpassed $37 billion ARR, up 123%.",candidate
MSFT,2026,3,2026-04-29,"And our agentic products in LinkedIn Talent Solutions, which help hirers automate time-consuming tasks like sourcing, screening and drafting messages have already surpassed a $450 million annualized revenue run rate.",candidate
MSFT,2026,3,2026-04-29,"As Satya shared, our AI business annual revenue run rate surpassed $37 billion this quarter, growing 123% year-over-year.",candidate
MSFT,2026,3,2026-04-29,RPO increased to $627 billion and was up 99% year-over-year with a weighted average duration of approximately 2.5 years when including OpenAI.,candidate
GOOGL,2024,1,2024-04-25,"But in addition, we expect YouTube overall and Cloud to exit 2024 at a combined annual run rate of over $100 billion.",candidate
GOOGL,2024,1,2024-04-25,And then the second question on just the comment of YouTube and Cloud exiting at $100 billion run rate.,candidate
GOOGL,2024,4,2025-02-04,"In Cloud and YouTube, we said at the beginning of 2024 that we expected to exit the year at a combined annual revenue run rate of over $100 billion.",candidate
GOOGL,2024,4,2025-02-04,We met that goal and ended the year at a run rate of $110 billion.,candidate
GOOGL,2024,4,2025-02-04,"YouTube and cloud revenues combined, ended the year at $110 billion annual run rate.",candidate
GOOGL,2025,1,2025-04-24,"As we announced last quarter, YouTube and Cloud exited 2024 at a combined annual run rate of $110 billion.",candidate
GOOGL,2025,2,2025-07-23,Its annual revenue run rate is now more than $50 billion.,candidate
GOOGL,2025,2,2025-07-23,"Google Cloud backlog increased 18% sequentially in Q2 and 38% year-over-year, reaching $106 billion at the end of the quarter.",candidate
GOOGL,2025,2,2025-07-23,"In Cloud, as I mentioned, the demand for our products is high as evidenced by the continued revenue growth and the cloud backlog of $106 billion.",candidate
GOOGL,2025,2,2025-07-23,Cloud has reached an annual revenue run rate of more than $50 billion and is delivering margin expansion while continue to invest to meet customer demand.,candidate
GOOGL,2025,3,2025-10-29,Cloud backlog grew 46% quarter-over-quarter to $155 billion.,candidate
GOOGL,2025,3,2025-10-29,"Today, 13 product lines are each at an annual run rate over $1 billion.",candidate
GOOGL,2025,3,2025-10-29,"Looking at the living room, our long-term bet, more advertisers are adopting interactive direct response ads, leading to an annual revenue run rate exceeding $1 billion globally for this format.",candidate
GOOGL,2025,3,2025-10-29,"Google Cloud's backlog increased 46% sequentially and 82% year-over-year, reaching $155 billion at the end of the third quarter.",candidate
GOOGL,2025,3,2025-10-29,"In Cloud, demand for our products remains high as evidenced by the accelerating revenue growth and the $49 billion sequential increase in Cloud backlog in Q3.",candidate
GOOGL,2025,4,2026-02-04,Cloud significantly accelerated with revenues growing 48% now on an annual run rate of over $70 billion.,candidate
