ticker,entity,year,quarter,call_date,metric,value_usd_low,value_usd_high,basis,sentence,tier,notes,entered_by,pr_number
MSFT,Microsoft,2025,1,2024-10-30,ai_arr,10000000000.0,10000000000.0,guidance,"All up, our AI business is on track to surpass an annual revenue run rate of $10 billion next quarter, which will make it the fastest business in our history to reach this milestone.",T2,stated as on-track for next quarter,claude+allan,
MSFT,Microsoft,2025,2,2025-01-29,ai_arr,13000000000.0,13000000000.0,realized,And our AI business has now surpassed an annual revenue run rate of $13 billion up 175% year-over-year.,T2,+175% y/y,claude+allan,
MSFT,Microsoft,2026,3,2026-04-29,ai_arr,37000000000.0,37000000000.0,realized,"Our AI business surpassed $37 billion ARR, up 123%.",T2,+123% y/y,claude+allan,
AMZN,Amazon AWS,2026,1,2026-04-29,ai_arr,15000000000.0,15000000000.0,realized,"In the first 3 years of this AI wave, AWS' AI revenue run rate is over $15 billion, nearly 260x larger.",T2,AWS AI-specific; 3 years into AI wave,claude+allan,
AMZN,Amazon AWS,2025,4,2026-02-05,ai_silicon_run_rate,10000000000.0,10000000000.0,realized,"If you combine Traneum and Graviton, it's well over a $10 billion annualized run rate business it's still very early there so I'm very optimistic about what we're seeing, know, the Project Rainier has gone very well.",T2,custom silicon (Trainium+Graviton) run rate; transcript spelling artifact,claude+allan,
AMZN,Amazon AWS,2023,3,2023-10-26,cloud_segment_run_rate,92000000000.0,92000000000.0,realized,"AWS revenue grew 12% year-over-year in Q3, with $919 million of incremental quarter-over-quarter revenue and now has the annualized revenue run rate of $92 billion.",T2,AWS total (not AI-specific); ecosystem context,claude+allan,
AMZN,Amazon AWS,2024,4,2025-02-06,cloud_segment_run_rate,115000000000.0,115000000000.0,realized,AWS now has an annualized revenue run rate of $115 billion.,T2,AWS total (not AI-specific); ecosystem context,claude+allan,
AMZN,Amazon AWS,2025,4,2026-02-05,cloud_segment_run_rate,142000000000.0,142000000000.0,realized,We added $2.6 billion in quarter over quarter revenue and AWS now has an annualized revenue run rate of $142 billion.,T2,AWS total (not AI-specific); ecosystem context,claude+allan,
AMZN,Amazon AWS,2026,1,2026-04-29,cloud_segment_run_rate,150000000000.0,150000000000.0,realized,AWS is now a $150 billion annualized revenue run rate business.,T2,AWS total (not AI-specific); ecosystem context,claude+allan,
ORCL,Oracle,2024,4,2024-06-11,ai_bookings,12500000000.0,12500000000.0,realized,"In AI alone, we signed contracts with 30 different customers for $12.5 billion in new AI business.",T2,"new AI contracts signed, FY2024 Q4",claude+allan,
NVDA,Anthropic,2026,3,2025-11-19,lab_arr,7000000000.0,7000000000.0,third_party,"Well, Anthropic recently reported that its annualized run rate revenue has reached $7 billion as of last month, up from $1 billion at the start of the year.",T3,NVIDIA management citing Anthropic's reported ARR; up from $1bn at start of year,claude+allan,
CRWV,CoreWeave,2025,4,2026-02-26,ai_arr,17000000000.0,19000000000.0,guidance,"As we continue on our hyper-growth trajectory, we expect to exit 2026 with annualized run rate revenue of $17 billion to $19 billion, which we expect to grow to more than $30 billion of annualized run rate revenue as we exit 2027.",T2,also >$30bn exiting 2027,claude+allan,
CRWV,CoreWeave,2026,1,2026-05-07,ai_arr,18000000000.0,19000000000.0,guidance,"We now expect to end 2026 with $18 billion to $19 billion of annualized run rate revenue, increasing the low end of our expectations by $1 billion.",T2,raised low end by $1bn,claude+allan,
CRWV,CoreWeave,2026,1,2026-05-07,ai_arr,30000000000.0,30000000000.0,contracted,"We continue to expect to grow annualized run rate revenue to more than $30 billion as we exit 2027 more than 75% of which is already contracted, excluding any benefit from not-yet-exercised customer renewals.",T2,">$30bn exit-2027 run rate, >75% contracted",claude+allan,
NBIS,Nebius,2026,1,2026-05-13,ai_arr,1900000000.0,1900000000.0,realized,"Annualized run rate revenue for our Nebius AI business reached $1.9 billion at the end of March, up over 50% from $1.25 billion in the previous quarter.",T2,up from $1.25bn prior quarter,claude+allan,
NBIS,Nebius,2026,1,2026-05-13,ai_arr,7000000000.0,9000000000.0,guidance,"As such, we are reiterating our full year 2026 guidance for annualized run rate revenue of $7 billion to $9 billion, group revenue of between $3 billion and $3.4 billion and group adjusted EBITDA margin of around 40%.",T2,end-2026 target,claude+allan,
NBIS,Nebius,2025,3,2025-11-11,ai_arr,7000000000.0,9000000000.0,guidance,"Based on the strength of demand that we see and our accelerated capacity growth plan, we believe we can achieve annualized run rate revenue (ARR) of $7 to $9 billion by the end of 2026.",T2,first statement of 2026 target,claude+allan,
IREN,IREN,2026,2,2026-02-05,contracted_arr,2300000000.0,2300000000.0,contracted,"Today, we have approximately $2.3 billion of annualized revenue run rate under contract, including around $0.4 billion at Prince George which we expect to increase over the coming weeks as we finalize negotiations for the remaining capacity there.",T2,,claude+allan,
IREN,IREN,2026,3,2026-05-07,contracted_arr,3100000000.0,3100000000.0,contracted,"We increased ARR under contract to $3.1 billion, remain on track to hit $3.7 billion exiting calendar 2026.",T2,target $3.7bn exiting 2026,claude+allan,
AMD,AMD,2024,2,2024-07-30,supply_side_context,4000000000.0,4000000000.0,realized,"Turning to our data center AI business, we delivered our third straight quarter of record data center GPU revenue with MI300 quarterly revenue exceeding $1 billion for the first time.",T2,quarterly >$1bn annualized ~4bn; EXCLUDED from Vp (consolidation rule) - context only,claude+allan,
